symbol	name	mf	oclID	oclCoordinates
Dttp	Desoxythymidine triphosphate diradical	C10H15N2O13P3	fgQZ`IQaPUg^BwhygnCqUxY|E~FwGHeEEdeEHhlTiDSISbRuUUUMLuMMMVDKBy@@	!BneB]^HipIvzsgGBJvW@XSRx@fOq[N`RWeBXkUyWapvntJ{Pf@KhDn`RWeBXkUyWkmBX@ibmWeA^Up
Dutp	Desoxyuridine triphosphate diradical	C9H13N2O13P3	fkoQZ`IQaPUg^CUoQ{NCqUxY|I~BwGHeEEdeEHhl]HlYJ\RVjjjiiffffkBEa\`@	!BneB]^HipIvzsgGBJvW@XSRx@f@I[N`RWeBXkUyWapvntJ{Pf@KhDeyPfJu^Uz{Pf@JXkUyPWe\
				
Dade	Desoxyadenosine diradical	C10H11N5O2	fluha@IF]ELJ@|QNJRsN|rntyYpXuUUTBATXPlKd@@	!BneB]^HipIvzsgGBJvW@XSRx@|vrxOF^qBoBYlGtd_RPJ|@kp
Dcyt	Desoxycytidine diradical	C9H11N3O3	fhiqa@IVCBa`^HgEIYg^Y~gG^jjjiejpaXWH@	!BneB]^HipIvzsgGBJvW@XSRx@JwpX_BnM[aAnDAc|[a@
Dgua	Desoxyguanosine diradical	C10H11N5O3	fbmia@IF]ELJYAxb\Tef]ye^Z\lxLZjjjeZfkBEa\`@	!BneB]^HipIvzsgGBJvW@XSRx@|vrxOF^qBoBYlOtdRPJ|F^qBo@
Dthy	Desoxythymidine diradical	C10H12N2O4	fdyPQ@IVaPtP^HgEIYg^YuiqwjjjjYikBEa\`@	!BneB]^HipIvzsgGBJvW@XSRx@JwpX_BnM[aAnDAc|FOqnD@
Dura	Desoxyuridine diradical	C9H10N2O4	fhiPQ@IVaPpP^HgEIYg^Y~gG^jjjifZpaXWH@	!BneB]^HipIvzsgGBJvW@XSRx@JpXBnM[aAnDAc|[a@
				
Amp	Adenosine monophosphate diradical	C10H12N5O6P	fakhs@INBwlJ\TgHOFwaEqrIQQSYQJIRIMLyxMVuUUUPLpEPQDqBId@@	!BneB]^B]nbgB]\}eplyqpbbx@FDws[K`|f@IglPkpf[BXkUyPWe_}IGtdBo@J|@
Cmp	Cytidine monophosphate diradical	C9H12N3O7P	ff}qs@I^kBgENSdGc[pbxyDhhilheDiLv\BVjjjjYfZbHfHQL`@	!BneB]^B]nbgB]\}eplyqpbbx@FDu[N`Rf@JGCZ{PkmBXkUyPWe_hDj{P
Gmp	Guanosine monophosphate diradical	C10H12N5O7P	fi{is@INBwlJ\TgHp^MoBKcdRbbfrbTRdR\SN^CUmUUUUKMSMQDSDHfP@	!BneB]^B]nbgB]\}eplyqpbbx@FDws[K`|f@IglPkpf[BXkUyPWe_}IOtdBo@wLPkp
Tmp	Thymidine monophosphate diradical	C10H13N2O8P	fncPK@I^aSbgIrtGc[pbxyDhhilheDiLjs`RuUUUSLuMDQLPbY@@	!BneB]^B]nbgB]\}eplyqpbbx@FDu[N`RfOrGCZ{PkmBXkUyPWe_hDn`Rkm@
Ump	Uridine monophosphate diradical	C9H11N2O8P	ff}PK@I^aSbgIsTGc[pbxyDhhilheDiLv\BVjjjjYffbHfHQL`@	!BneB]^B]nbgB]\}eplyqpbbx@FDu[N`Rf@JGCZ{PkmBXkUyPWe_hDj{P
Rmp	Ribose monophosphate diradical	C5H7O6P		
				
Adp	Adenosine diphosphate diradical	C10H13N5O9P2	fcoiH`INCt\J\UENU{Axv|F~DwGHeEEMeDheHd\eHsg`u{UUUU@mAEMPQDqBId@@	!BneB]^B]nbgB]\}eplyqpbbx@FDws[K`|fOqglPkpf[A^TIbmWe]}IGtdf@HJ|@kpfJu^TEyW
Cdp	Cytidine diphosphate diradical	C9H13N3O10P2	fe{ph`I^[BgENbgHy`|[^E_CkcdRbbfrbTRdqrdYpIZjjjieijZbHfHQL`@	!BneB]^B]nbgB]\}eplyqpbbx@FDu[N`Rf@JGCZ{PkmA^TIbmWe_hDi`BkmBXkUyPWe\
Gdp	Guanosine diphosphate diradical	C10H13N5O10P2	fkhh`INCt\J\UENY{NCqmxM|EnNQJJJ[JIQJQHzIRLyxM^uUUUTkUSLuQDSDHfP@	!BneB]^B]nbgB]\}eplyqpbbx@FDws[K`|fOqglPkpf[A^TIbmWe]}IGtdfOpJ|C\qBoBXkUyPWe\
Tdp	Thymidine diphosphate diradical	C10H14N2O11P2	fmgQh`I^aSbgQSglu`|[^C_@[bdls^rruo}LxDmUUUTruTsTQDqBId@@	!BneB]^B]nbgB]\}eplyqpbbx@FDu[N`Rf@JGCZ{PkmA^TIbmWe_hDn`RfOrntIbmWeA^Up
Udp	Uridine diphosphate diradical	C9H12N2O11P2	fe{Qh`I^aSbgQSehy`|[^E_CkcdRbbfrbTRdqrdYpIZjjjiejfZbHfHQL`@	!BneB]^B]nbgB]\}eplyqpbbx@FDu[N`Rf@JGCZ{PkmA^TIbmWe_hDic|kmBXkUyPWe\
				
Atp	Adenosine triphosphate diradical	C10H14N5O12P3	e`TZCJ@IG@nahJNEHdliemgo`OFspZ|CoByqrIQQSYQJIRIGIRWRL\^AU]UUUUPKPQMTuABDpaBX`@	!BneB]^B]nbgB]\}eplyqpbbx@FDws[K`|f@IglPkpf[A^TIbmWe_}IOtdf@HJ|@kpWeBXkUyWf@JXkUyPWe\
Ctp	Cytidine triphosphate diradical	C9H14N3O13P3	fgqZ`I^[BgENbgOQsO\Gc[pkxK|MnNQJJJ[JIQJSGJPzQg@ejjjjfVffjZbHfHQL`@	!BneB]^B]nbgB]\}eplyqpbbx@FDu[N`Rf@JGCZ{PkmA^TIbmWe_hDic|kmA^TIbmWe^X@ibmWeA^Up
Gtp	Guanosine triphosphate diradical	C10H14N5O13P3	eh\ZKJ@IG@nahJNEHdliemco`POFspZ|KoAyqrIQQSYQJIRIGQJQzQccpJkjjjjjeZjYZijbDIaBDq@@	!BneB]^B]nbgB]\}eplyqpbbx@FDws[K`|f@IglPkpf[A^TIbmWe]}IOtdfOpJ|C\qBoA^TIbmWe^X@ibmWeA^Up
Ttp	Thymidine triphosphate diradical	C10H15N2O14P3	eo`TGJ@IOHJNEGHdlnaiekg`OFspZ|Mo@yqrIQQSYQJIRY[ZPzQc`HjjjjjYZjVjZbDIaBDq@@	!BneB]^B]nbgB]\}eplyqpbbx@FDu[N`Rf@JGCZ{PkmA^TIbmWe_hDn`Rf@JntEyPfJu^Uy`BfJu^TEyW
Utp	Uridine triphosphate diradical	C9H13N2O14P3	fgPz`I^aSbgQSeoQsO\Gc[pkxK|MnNQJJJ[JIQJSGJPzQg@ejjjjfVjVjZbHfHQL`@	!BneB]^B]nbgB]\}eplyqpbbx@FDu[N`Rf@JGCZ{PkmA^TIbmWe_hDic|kmA^TIbmWe^X@ibmWeA^Up
			d@	
Ade	Adenosine diradical	C10H11N5O3	fbmia@IV|gLJ\Axj\Tef[vyWV\]zJZjjj`PJ`bIbDSH@	!BneB]^B]nbgB]\}eplyqpbbx@FDws[K`|Y{DJ|Ifp_RS}I@kpBo@
Cyt	Cytidine diradical	C9H11N3O4	fdypQ@INcBgK@|UNJRsM{\~sg`uUUULmQDSDHfP@	!BneB]^B]nbgB]\}eplyqpbbx@FDtkAc|JxunDFxPF@InD@
Gua	Guanosine diradical	C10H11N5O4	fj}hQ@IV|gLJ\JCqTxiKLwmroKNN}EMUUUTkTuDQLPbY@@	!BneB]^B]nbgB]\}eplyqpbbx@FDws[K`|Y{DJ|Ifp_RS}I@kpY{DJ|@
Thy	Thymidine diradical  	C10H12N2O5	fleQQ@INaSed`|UNJRsM{\zlyxMUUUSMMDQLPbY@@	!BneB]^B]nbgB]\}eplyqpbbx@FDtkAc|JxunDFxPFOpXFxP
Ura	Uridine diradical	C9H10N2O5	fdyQQ@INaSeh`|UNJRsM{\~sg`uUUULsQDSDHfP@	!BneB]^B]nbgB]\}eplyqpbbx@FDtkAc|JxunDFxPFOqnD@
